siteID,labno,starttime,endtime,amount,type
ME96,NR8113SW,7/6/1998 4:00:00 AM,7/7/1998 4:00:00 AM,0.00, 
ME96,NR8113SW,7/7/1998 4:00:00 AM,7/7/1998 2:08:00 PM,0.00, 
ME96,NR8427SW,7/7/1998 2:08:00 PM,7/8/1998 4:00:00 AM,0.00, 
ME96,NR8427SW,7/8/1998 4:00:00 AM,7/9/1998 4:00:00 AM,0.00, 
ME96,NR8427SW,7/9/1998 4:00:00 AM,7/10/1998 4:00:00 AM,0.00, 
ME96,NR8427SW,7/10/1998 4:00:00 AM,7/11/1998 4:00:00 AM,0.08,r
ME96,NR8427SW,7/11/1998 4:00:00 AM,7/12/1998 4:00:00 AM,0.18,r
ME96,NR8427SW,7/12/1998 4:00:00 AM,7/13/1998 4:00:00 AM,0.00, 
ME96,NR8427SW,7/13/1998 4:00:00 AM,7/14/1998 4:00:00 AM,0.00, 
ME96,NR8427SW,7/14/1998 4:00:00 AM,7/14/1998 2:15:00 PM,0.00, 
ME96,NR8568SW,7/14/1998 2:15:00 PM,7/15/1998 4:00:00 AM,0.00, 
ME96,NR8568SW,7/15/1998 4:00:00 AM,7/16/1998 4:00:00 AM,0.00, 
ME96,NR8568SW,7/16/1998 4:00:00 AM,7/17/1998 4:00:00 AM,0.00, 
ME96,NR8568SW,7/17/1998 4:00:00 AM,7/18/1998 4:00:00 AM,0.00, 
ME96,NR8568SW,7/18/1998 4:00:00 AM,7/19/1998 4:00:00 AM,0.00, 
ME96,NR8568SW,7/19/1998 4:00:00 AM,7/20/1998 4:00:00 AM,0.00, 
ME96,NR8568SW,7/20/1998 4:00:00 AM,7/21/1998 4:00:00 AM,0.48,r
ME96,NR8568SW,7/21/1998 4:00:00 AM,7/21/1998 1:35:00 PM,0.00, 
ME96,NR8762SW,7/21/1998 1:35:00 PM,7/22/1998 4:00:00 AM,0.00, 
ME96,NR8762SW,7/22/1998 4:00:00 AM,7/23/1998 4:00:00 AM,0.00, 
ME96,NR8762SW,7/23/1998 4:00:00 AM,7/24/1998 4:00:00 AM,0.70,r
ME96,NR8762SW,7/24/1998 4:00:00 AM,7/25/1998 4:00:00 AM,0.00, 
ME96,NR8762SW,7/25/1998 4:00:00 AM,7/26/1998 4:00:00 AM,0.00, 
ME96,NR8762SW,7/26/1998 4:00:00 AM,7/27/1998 4:00:00 AM,0.00, 
ME96,NR8762SW,7/27/1998 4:00:00 AM,7/28/1998 4:00:00 AM,0.00, 
ME96,NR8762SW,7/28/1998 4:00:00 AM,7/28/1998 2:25:00 PM,0.00, 
ME96,NR9050SW,7/28/1998 2:25:00 PM,7/29/1998 4:00:00 AM,-9.00, 
ME96,NR9050SW,7/29/1998 4:00:00 AM,7/30/1998 4:00:00 AM,-9.00,r
ME96,NR9050SW,7/30/1998 4:00:00 AM,7/31/1998 4:00:00 AM,-9.00, 
ME96,NR9050SW,7/31/1998 4:00:00 AM,8/1/1998 4:00:00 AM,-9.00, 
ME96,NR9050SW,8/1/1998 4:00:00 AM,8/2/1998 4:00:00 AM,0.00, 
ME96,NR9050SW,8/2/1998 4:00:00 AM,8/3/1998 4:00:00 AM,0.00, 
ME96,NR9050SW,8/3/1998 4:00:00 AM,8/4/1998 4:00:00 AM,0.00, 
ME96,NR9050SW,8/4/1998 4:00:00 AM,8/4/1998 6:00:00 PM,0.00, 
ME96,NR9156SW,8/4/1998 6:00:00 PM,8/5/1998 4:00:00 AM,0.00, 
ME96,NR9156SW,8/5/1998 4:00:00 AM,8/6/1998 4:00:00 AM,0.00, 
ME96,NR9156SW,8/6/1998 4:00:00 AM,8/7/1998 4:00:00 AM,0.00, 
ME96,NR9156SW,8/7/1998 4:00:00 AM,8/8/1998 4:00:00 AM,0.00, 
ME96,NR9156SW,8/8/1998 4:00:00 AM,8/9/1998 4:00:00 AM,0.00, 
ME96,NR9156SW,8/9/1998 4:00:00 AM,8/10/1998 4:00:00 AM,0.00, 
ME96,NR9156SW,8/10/1998 4:00:00 AM,8/11/1998 4:00:00 AM,0.00, 
ME96,NR9156SW,8/11/1998 4:00:00 AM,8/11/1998 1:45:00 PM,0.03,r
ME96,NR9398SW,8/11/1998 1:45:00 PM,8/12/1998 4:00:00 AM,-9.00, 
ME96,NR9398SW,8/12/1998 4:00:00 AM,8/13/1998 4:00:00 AM,-9.00,r
ME96,NR9398SW,8/13/1998 4:00:00 AM,8/14/1998 4:00:00 AM,-9.00,r
ME96,NR9398SW,8/14/1998 4:00:00 AM,8/15/1998 4:00:00 AM,-9.00, 
ME96,NR9398SW,8/15/1998 4:00:00 AM,8/16/1998 4:00:00 AM,-9.00, 
ME96,NR9398SW,8/16/1998 4:00:00 AM,8/17/1998 4:00:00 AM,-9.00, 
ME96,NR9398SW,8/17/1998 4:00:00 AM,8/18/1998 4:00:00 AM,-9.00,r
ME96,NR9398SW,8/18/1998 4:00:00 AM,8/18/1998 1:50:00 PM,-9.00, 
ME96,NR9592SW,8/18/1998 1:50:00 PM,8/19/1998 4:00:00 AM,0.00, 
ME96,NR9592SW,8/19/1998 4:00:00 AM,8/20/1998 4:00:00 AM,0.00, 
ME96,NR9592SW,8/20/1998 4:00:00 AM,8/21/1998 4:00:00 AM,0.00, 
ME96,NR9592SW,8/21/1998 4:00:00 AM,8/22/1998 4:00:00 AM,0.02,r
ME96,NR9592SW,8/22/1998 4:00:00 AM,8/23/1998 4:00:00 AM,0.00, 
ME96,NR9592SW,8/23/1998 4:00:00 AM,8/24/1998 4:00:00 AM,0.78,r
ME96,NR9592SW,8/24/1998 4:00:00 AM,8/25/1998 4:00:00 AM,1.21, 
ME96,NR9592SW,8/25/1998 4:00:00 AM,8/25/1998 1:52:00 PM,0.01, 
ME96,NR9812SW,8/25/1998 2:00:00 PM,8/26/1998 4:00:00 AM,0.60,r
ME96,NR9812SW,8/26/1998 4:00:00 AM,8/27/1998 4:00:00 AM,0.00, 
ME96,NR9812SW,8/27/1998 4:00:00 AM,8/28/1998 4:00:00 AM,0.00, 
ME96,NR9812SW,8/28/1998 4:00:00 AM,8/29/1998 4:00:00 AM,0.00, 
ME96,NR9812SW,8/29/1998 4:00:00 AM,8/30/1998 4:00:00 AM,0.05,r
ME96,NR9812SW,8/30/1998 4:00:00 AM,8/31/1998 4:00:00 AM,0.00, 
ME96,NR9812SW,8/31/1998 4:00:00 AM,9/1/1998 4:00:00 AM,0.00, 
ME96,NR9812SW,9/1/1998 4:00:00 AM,9/1/1998 2:10:00 PM,0.00, 
ME96,NR9990SW,9/1/1998 2:10:00 PM,9/2/1998 4:00:00 AM,0.00, 
ME96,NR9990SW,9/2/1998 4:00:00 AM,9/3/1998 4:00:00 AM,-7.00,r
ME96,NR9990SW,9/3/1998 4:00:00 AM,9/4/1998 4:00:00 AM,0.00, 
ME96,NR9990SW,9/4/1998 4:00:00 AM,9/5/1998 4:00:00 AM,0.00, 
ME96,NR9990SW,9/5/1998 4:00:00 AM,9/6/1998 4:00:00 AM,0.00, 
ME96,NR9990SW,9/6/1998 4:00:00 AM,9/7/1998 4:00:00 AM,0.00, 
ME96,NR9990SW,9/7/1998 4:00:00 AM,9/8/1998 4:00:00 AM,0.15,r
ME96,NR9990SW,9/8/1998 4:00:00 AM,9/8/1998 1:40:00 PM,0.32,r
ME96,NS0157SW,9/8/1998 1:41:00 PM,9/9/1998 4:00:00 AM,0.00, 
